idx,lib_index,cps_name,lib_obs,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,source,source_name,snr
367,367,37394,rj15.1500,5249.0,25.0,0.86,0.04,4.505,0.027999999999999997,0.1526,0.01,0.88,0.02,9.84,0.34,3.04,Brewer,HD 37394,174.73748779296875
368,368,131511,rj189.270,5258.6,25.0,0.88,0.04,4.4738,0.027999999999999997,0.1311,0.01,0.87,0.02,10.0,0.18,4.41,Brewer,HD 131511,155.52689361572266
369,369,102195,rj15.2019,5276.8,25.0,0.86,0.04,4.5028,0.027999999999999997,0.1012,0.01,0.88,0.02,9.85,0.32,2.82,Brewer,HD 102195,174.12032318115234
370,370,72760,rj187.413,5293.0,25.0,0.85,0.03,4.516,0.027999999999999997,0.0886,0.01,0.89,0.02,9.75,0.39,2.17,Brewer,HD 72760,155.47323608398438
371,371,181234,rj193.70,5313.9,25.0,1.06,0.05,4.3464,0.027999999999999997,0.3491,0.01,0.92,0.02,10.09,0.06,1.85,Brewer,HD 181234,156.0966567993164
372,372,37605,rj23.1581,5329.2,25.0,1.03,0.05,4.3645,0.027999999999999997,0.2674,0.01,0.91,0.02,10.11,0.07,1.58,Brewer,HD 37605,145.92108154296875
373,373,164922,rj08.769,5341.3,25.0,0.98,0.04,4.3896,0.027999999999999997,0.1492,0.01,0.88,0.01,10.12,0.07,0.1,Brewer,HD 164922,173.42494201660156
374,374,K00137,rj97.1487,5359.6,25.0,1.0,0.05,4.3792,0.027999999999999997,0.2079,0.01,0.89,0.02,10.11,0.07,1.8,Brewer,Kepler-18,103.50371551513672
375,375,3795,rj76.1925,5379.5,25.0,1.64,0.04,4.1123,0.027999999999999997,-0.5377,0.01,0.83,0.0,10.17,0.0,1.85,Brewer,HD 3795,152.9381866455078
376,376,K00245,rj179.289,5391.9,25.0,0.75,0.02,4.5959,0.027999999999999997,-0.3237,0.01,0.81,0.02,9.43,0.38,0.89,Brewer,Kepler-37,153.95207977294922
377,377,201924,rj21.1578,5401.4,25.0,0.91,0.04,4.4658,0.027999999999999997,0.0479,0.01,0.89,0.02,9.92,0.19,1.15,Brewer,HD 201924,171.1530990600586
378,378,221822,rj15.519,5419.5,25.0,0.75,0.03,4.5688,0.027999999999999997,-0.3684,0.01,0.8,0.02,9.67,0.43,1.39,Brewer,HD 221822,176.8224334716797
379,379,224619,rj41.2656,5453.8,25.0,0.86,0.04,4.4923,0.027999999999999997,-0.173,0.01,0.85,0.02,9.88,0.21,1.61,Brewer,HD 224619,165.17715454101562
380,380,126583,rj06.1818,5481.6,25.0,0.89,0.04,4.4871,0.027999999999999997,-0.0008,0.01,0.92,0.02,9.76,0.31,1.32,Brewer,HD 126583,173.9181365966797
381,381,162232,rj55.930,5491.5,25.0,1.05,0.05,4.3549,0.027999999999999997,0.1384,0.01,0.92,0.01,10.06,0.07,2.22,Brewer,HD 162232,165.45664978027344
382,382,133125,rj19.942,5505.7,25.0,0.88,0.04,4.4860000000000015,0.027999999999999997,-0.1304,0.01,0.88,0.02,9.82,0.22,0.89,Brewer,HD 133125,151.84048461914062
383,383,80606,rj50.315,5524.6,25.0,1.15,0.06,4.3094,0.027999999999999997,0.2948,0.01,0.99,0.02,9.97,0.06,2.17,Brewer,HD 80606,164.89189910888672
384,384,193690,rj55.977,5542.1,25.0,1.0,0.05,4.4126,0.027999999999999997,0.199,0.01,0.96,0.02,9.89,0.13,1.78,Brewer,HD 193690,162.86585998535156
385,385,27496,rj23.1578,5561.2,25.0,1.52,0.1,4.1016,0.027999999999999997,0.3339,0.01,1.07,0.03,9.95,0.04,2.65,Brewer,HD 27496,159.8720932006836
386,386,112415,rj21.1218,5573.6,25.0,1.25,0.07,4.2467,0.027999999999999997,0.2817,0.01,1.01,0.02,9.98,0.05,2.34,Brewer,HD 112415,158.06908416748047
387,387,WASP8,rj138.579,5589.9,25.0,0.96,0.04,4.467,0.027999999999999997,0.2626,0.01,1.02,0.02,9.48,0.32,2.14,Brewer,WASP-8,153.21119689941406
388,388,37124,rj63.448,5604.3,25.0,0.76,0.02,4.6002,0.027999999999999997,-0.4528,0.01,0.82,0.02,9.37,0.34,0.33,Brewer,HD 37124,164.7777862548828
389,389,43162,rj15.563,5617.4,25.0,0.89,0.02,4.5465,0.027999999999999997,0.0154,0.01,0.97,0.02,9.24,0.27,6.16,Brewer,HD 43162,176.17811584472656
390,390,222038,rj21.1562,5628.6,25.0,1.23,0.07,4.251,0.027999999999999997,0.22,0.01,1.0,0.02,9.99,0.04,2.05,Brewer,HD 222038,168.21981811523438
391,391,172051,rj59.987,5636.0,25.0,0.82,0.02,4.5815,0.027999999999999997,-0.2564,0.01,0.89,0.01,9.24,0.28,0.1,Brewer,HD 172051,153.194580078125
392,392,161479,rj21.1530,5642.0,25.0,1.17,0.07,4.3124,0.027999999999999997,0.2845,0.01,1.04,0.03,9.86,0.07,4.52,Brewer,HD 161479,156.14051818847656
